item	item_desc	qty	lot_no	location	received_date	exp_date
010001501	CONTACT IC-31-23#2 PLATING AUP-*S	47429	NLN		2017-12-20	2018-06-20
021346301	CT 376-A AU-B	15103	NLN		2017-12-20	2018-06-20
021347501	CT 383 A AU-B	17	NLN		2017-12-20	2018-06-20
021347601	CT 383 B AU-B	45	NLN		2017-12-20	2018-06-20
021347701	CT 472-A AU-B	18105	NLN		2017-12-20	2018-06-20
021347801	CT 472-B AU-B	10364	NLN		2017-12-20	2018-06-20
021347901	CT 472-C AU-B	18248	NLN		2017-12-20	2018-06-20
021348001	CT 413#5 AUP-B	11034	NLN		2017-12-20	2018-06-20
021350801	CT 313 A AU-B	18485	NLN		2017-12-20	2018-06-20
021350901	CT 313 B AU-B	12983	NLN		2017-12-20	2018-06-20
021356301	CT 548 B AU-B	10166	NLN		2017-12-20	2018-06-20
021358301	CT 605 A AU-B	9411	NLN		2017-12-20	2018-06-20
021358401	CT 605 B AU-B	9440	NLN		2017-12-20	2018-06-20
021360301	CT 662 A AU-B	1960	NLN		2017-12-20	2018-06-20
021360401	CT 662 C AU-B	2060	NLN		2017-12-20	2018-06-20
021361201	CT 664 A AU-B	20984	NLN		2017-12-20	2018-06-20
021361301	CT 664 B AU-B	39262	NLN		2017-12-20	2018-06-20
021361702	CT 668-B-B AU-B	20071	NLN		2017-12-20	2018-06-20
021361802	CT 668-B-C AU-B	25384	NLN		2017-12-20	2018-06-20
021363501	CT 690 A AU-B	20084	NLN		2017-12-20	2018-06-20
021363601	CT 690 B AU-B	16115	NLN		2017-12-20	2018-06-20
021364501	CT 205-3 A AU-B	126	NLN		2017-12-20	2018-06-20
021364601	CT 205-3 B AU-B	132	NLN		2017-12-20	2018-06-20
021366201	CT 773 A AU-B	7098	NLN		2017-12-20	2018-06-20
021366301	CT 773 B AU-B	7111	NLN		2017-12-20	2018-06-20
021366401	CT 773 C AU-B	6632	NLN		2017-12-20	2018-06-20
021366503	CT 782 A AU-B	23029	NLN		2017-12-20	2018-06-20
021366603	CT 782 B AU-B	23583	NLN		2017-12-20	2018-06-20
021366703	CT 782 C AU-B	25657	NLN		2017-12-20	2018-06-20
021366803	CT 782 D AU-B	7596	NLN		2017-12-20	2018-06-20
021373701	CT 825 A AU-B	1718	NLN		2017-12-20	2018-06-20
021374201	CT 829-A AU-B	8389	NLN		2017-12-20	2018-06-20
021374301	CT 829-B AU-B	7222	NLN		2017-12-20	2018-06-20
021374401	CT 829-C AU-B	222	NLN		2017-12-20	2018-06-20
021374501	CT 829-D AU-B	6503	NLN		2017-12-20	2018-06-20
021381201	CT 892-2B AU-B	362	NLN		2017-12-20	2018-06-20
021382001	CT 912 A AU-B	26620	NLN		2017-12-20	2018-06-20
021382101	CT 912 B AU-B	26549	NLN		2017-12-20	2018-06-20
021382201	CT 823 AU-B	9619	NLN		2017-12-20	2018-06-20
021382301	CT 897 AU-B	2709	NLN		2017-12-20	2018-06-20
021384301	CT 926 A AU-B	742	NLN		2017-12-20	2018-06-20
021384401	CT 926 B AU-B	810	NLN		2017-12-20	2018-06-20
021384501	CT 926 C AU-B	830	NLN		2017-12-20	2018-06-20
021385101	CT 990B AU-B	396	NLN		2017-12-20	2018-06-20
021388501	CT 992 A AU-B	26060	NLN		2017-12-20	2018-06-20
021388601	CT 992 B AU-B	26509	NLN		2017-12-20	2018-06-20
021390901	CT 1111 A AU-B	3215	NLN		2017-12-20	2018-06-20
021391001	CT 1111 B AU-B	3270	NLN		2017-12-20	2018-06-20
021398301	CT 1237 A AU-B	11145	NLN		2017-12-20	2018-06-20
021398401	CT 1237 B AU-B	11259	NLN		2017-12-20	2018-06-20
021399201	CT 1191 A AU-B	10192	NLN		2017-12-20	2018-06-20
021399301	CT 1191 B AU-B	4122	NLN		2017-12-20	2018-06-20
021399401	CT 1191 C AU-B	14644	NLN		2017-12-20	2018-06-20
021399501	CT 1187 A AU-B	83	NLN		2017-12-20	2018-06-20
021402401	CT 1169 A AU-B	980	NLN		2017-12-20	2018-06-20
