item	item_desc	qty	lot_no	location	received_date	exp_date
106557501	CT 5401-Y#BARREL-2 (CSH)	3	160613SP2-2	 	2016-06-24	2018-06-24
106557501	CT 5401-Y#BARREL-2 (CSH)	9	160613SP2-1	 	2016-06-24	2018-06-24
106584701	CT 5432-Y#PLUNGER-A (YEC)	12	A160531-009	 	2016-06-24	2018-06-24
104978301	CT 4775-Y #PLUNGER-B (YEC)	3299	A160614-006	blank	2016-06-24	2018-06-24
104978201	CT 4775-Y #BARREL (YEC)	360	A160614-008	blank	2016-06-24	2018-06-24
104978101	CT 4775-Y #PLUNGER-A (YEC)	2409	A160615-004	blank	2016-06-24	2018-06-24
106585001	CT 5432-Y#PLUNGER-B (YEC)	12	A160527-016	 	2016-06-24	2018-06-24
106575201	IC564-090#GP(100UP)	6	160623	 	2016-06-24	2018-06-24
020830701	IC354-0482-031P#IN-B	20	B060621R	R38-2/L1-07211	2016-06-24	2018-06-24
106558101	NP587-003#SP	4000	160621	 	2016-06-24	2018-06-24
106558101	NP587-003#SP	4000	160622	 	2016-06-24	2018-06-24
106256501	NP351-400-678#IN-A-5	25	160622	R32-2/L1-06138	2016-06-24	2018-06-24
106096702	NP469-017#IN-A	606	C060608R	blank	2016-06-24	2018-06-24
104769501	NP436-17101#IN-A-1NO.4	7000	K160615	R18-2/L3-03697	2016-06-24	2018-06-24
102583503	IC357-0644-068#IN-A	2537	D060620R	R21-1/L3-04169	2016-06-24	2018-06-24
102583602	IC357-0644-068P#IN-B	6799	C060621R	R15-1/L3-03081	2016-06-24	2018-06-24
106281001	NP587-001#CV	597	160622	blank	2016-06-24	2018-06-24
103452202	NP537-192-001#LB	25	160621	R41-1/L3-07589	2016-06-24	2018-06-24
020396501	IC200-0844-003#IN-B	25	160621	R34-1/L3-06345	2016-06-24	2018-06-24
104203801	IC550-0564-010#GP	846	A060620R	R32-2/L2-06104	2016-06-24	2018-06-24
106601701	NP587-366-003#LB-2	1257	B060617R	 	2016-06-24	2018-06-24
106557901	NP587-003#LT	9803	160618	 	2016-06-24	2018-06-24
106558401	NP587-003#SP-C	44	B060616R	 	2016-06-24	2018-06-24
106558401	NP587-003#SP-C	271	B060615R	 	2016-06-24	2018-06-24
010134302	INSULATOR IC-115-6DMF (PES)	50	160621	R14-1/L1-02961	2016-06-24	2018-06-24
010125602	BASE PLATE IC-115-6D (PES)	200	160621	R42-2/L2-07886	2016-06-24	2018-06-24
102583702	IC357-0644-068#LB	1884	D060620R	R30-2/L3-05713	2016-06-24	2018-06-24
021137202	IC51-1444-1354-27#LB PEI	20	A060311R	R31-2/L1-05952	2016-06-24	2018-06-24
020193101	IC51-1444-1354#PL PES	32	D060305R	R07-2/L3-01893	2016-06-24	2018-06-24
106108201	NP469-1384-017#PB-L	238	6/18/2016	blank	2016-06-24	2018-06-24
106108201	NP469-1384-017#PB-L	200	6/21/2016	blank	2016-06-24	2018-06-24
106108201	NP469-1384-017#PB-L	200	6/22/2016	blank	2016-06-24	2018-06-24
106108301	NP469-1384-017#PB-T	200	6/22/2016	R43-1/L3-08005	2016-06-24	2018-06-24
020027401	IC-46-1610 HT#IN	59	G061116R	R38-2/L1-07220	2016-06-24	2018-06-24
100378001	IC398-0289-054#CV	525	C060613R	R35-2/L3-06602	2016-06-24	2018-06-24
100378001	IC398-0289-054#CV	210	C060614R	R35-2/L3-06602	2016-06-24	2018-06-24
100378001	IC398-0289-054#CV	60	C060523R	R35-2/L3-06602	2016-06-24	2018-06-24
102872601	CS-KS5093	100	16-6-23	R01-2/L3-00214	2016-06-24	2018-06-24
101861301	NP486-676-001#CV	533	A160614	R35-2/L1-06671	2016-06-24	2018-06-24
101861002	NP486-676-001#IN-A	769	B160614	R14-1/L1-02965	2016-06-24	2018-06-24
101861002	NP486-676-001#IN-A	267	B160615	R14-1/L1-02965	2016-06-24	2018-06-24
101882303	NP486-676-001#IN-B	533	C160621	R34-1/L2-06364	2016-06-24	2018-06-24
104697702	NP566-729-001#IN-B-2	180	C16520	R21-2/L2-04272	2016-06-24	2018-06-24
104998801	IC357-1444-107#IN-A	1553	A160617	R41-1/L1-07669	2016-06-24	2018-06-24
104998801	IC357-1444-107#IN-A	1441	A160618	R41-1/L1-07669	2016-06-24	2018-06-24
103024601	IC234-2084-126#IN-A	608	A160616	R18-2/L2-03750	2016-06-24	2018-06-24
105592001	NP566-003#GP	343	B160616	R34-2/L2-06463	2016-06-24	2018-06-24
106335101	IC572-1004-004-2#IN-B	236	160622	R16-2/L2-03381	2016-06-24	2018-06-24
020625501	NP351-28508#IN-A (3601)	316	H060617R	R21-1/L2-04188	2016-06-24	2018-06-24
105432501	IC572-1764-001#IN-A	82	A060617R	R20-2/L1-04125	2016-06-24	2018-06-24
020585502	NP351-28508#IN-B-P	318	H060617R	R20-1/L3-03970	2016-06-24	2018-06-24
020832901	IC357-0804-003P#IN-B	121	C060617R	R34-1/L2-06363	2016-06-24	2018-06-24
