item	item_desc	qty	lot_no	location	received_date	exp_date
106444102	IC542-1948-035#PB-T	2	16-6-20	 	2016-06-21	2018-06-21
106444301	IC542-1948-035#PB-L	2	A20160619-5	blank	2016-06-21	2018-06-21
106444201	IC542-1948-035#PB-B	2	A20160619-5	blank	2016-06-21	2018-06-21
105533301	CT 4859 #PLUNGER-3 (YEC)	18000	C160325-01-1	blank	2016-06-21	2018-06-21
021206202	PS44-44*-4311#IN	527	R060617R	R44-1/L2-08261	2016-06-21	2018-06-21
020284701	IC51-2084-1052-13#LB PEI	279	A060615R	R31-2/L1-05931	2016-06-21	2018-06-21
101116603	IC-746-1#IN	-323	D060609R	R33-1/L3-06152	2016-06-21	2018-06-21
101116603	IC-746-1#IN	-747	D060610R	R33-1/L3-06152	2016-06-21	2018-06-21
100524301	IC354-0562-010#IN-B	125	A.150708-1-G	R15-2/L2-03198	2016-06-21	2018-06-21
010130002	INSULATOR IC-115-2 (PES)	100	160613	R44-1/L1-08301	2016-06-21	2018-06-21
010125002	BASE PLATE IC-115-2 (PES)	100	160613	R44-1/L1-08297	2016-06-21	2018-06-21
020840902	IC357-1444-023#SD	952	A160615	R33-2/L3-06237	2016-06-21	2018-06-21
020840902	IC357-1444-023#SD	1422	A160614	R33-2/L3-06237	2016-06-21	2018-06-21
106563301	CT 5420-Y#BARREL (NANSIN)	11530	MT160472-5	 	2016-06-21	2018-06-21
106563301	CT 5420-Y#BARREL (NANSIN)	11560	MT160472-6	 	2016-06-21	2018-06-21
106563301	CT 5420-Y#BARREL (NANSIN)	11620	MT160472-7	 	2016-06-21	2018-06-21
106563301	CT 5420-Y#BARREL (NANSIN)	5270	MT160472-8	 	2016-06-21	2018-06-21
106563301	CT 5420-Y#BARREL (NANSIN)	3830	MT160559-2	 	2016-06-21	2018-06-21
106563301	CT 5420-Y#BARREL (NANSIN)	6170	MT160559-1	 	2016-06-21	2018-06-21
020751201	IC280-484-206#IN	20	G060616R	R36-1/L3-06686	2016-06-21	2018-06-21
021221101	SMT-5209#IN	100	C060615R	R22-2/L1-04500	2016-06-21	2018-06-21
105265301	CT 4683 #PLUNGER	74200	C160613-02-1	blank	2016-06-21	2018-06-21
105265301	CT 4683 #PLUNGER	120000	C160613-01-1	blank	2016-06-21	2018-06-21
104574301	CT 4368 #PLUNGER-5	3000	H160617-01-1	blank	2016-06-21	2018-06-21
104814001	E20-200#SF	278	A-234686	R05-2/L5-01263	2016-06-21	2018-06-21
021652702	M SHAFT-04 (2.0 L=31) [R]	76	C2-234619	R05-1/L2-01206	2016-06-21	2018-06-21
021646302	M SHAFT-68 (3.0 L=37) [R]	134	C2-014971	R05-1/L1-01241	2016-06-21	2018-06-21
106282301	D15-286#SF	10300	A-234910	R03-2/L4-00734	2016-06-21	2018-06-21
021658302	P SHAFT-75 (1.5 L=22.5) [R]	40	CE-234173	R06-1/L4-01450	2016-06-21	2018-06-21
021659202	P SHAFT 90 (1.5 L=13.5) [R]	40	CE-232780	R06-1/L4-01456	2016-06-21	2018-06-21
021655702	P SHAFT-48 (2.0 L=50.0) [R]	17	CE-227732	R06-1/L4-01437	2016-06-21	2018-06-21
021645302	M SHAFT-58 (2.0 L=33) [R]	155	C2-015104	R05-1/L5-01138	2016-06-21	2018-06-21
021655602	P SHAFT-47 (1.5 L=50.0) [R]	9	CE-209378	R06-1/L4-01438	2016-06-21	2018-06-21
021652902	M SHAFT-15 (2.0 L=40) [R]	10	CZ-233564	R04-2/L5-00999	2016-06-21	2018-06-21
021653502	M SHAFT-08 (3.0L=50) [R]	10	CZ-009116	R05-1/L2-01212	2016-06-21	2018-06-21
021643802	M SHAFT-29 (1.5 L=37) [R]	20	CZ-234593	R04-2/L5-01004	2016-06-21	2018-06-21
021651702	P SHAFT-21 (1.5 L=28.5) [R]	136	CE-234740	R06-1/L4-01433	2016-06-21	2018-06-21
021642702	M SHAFT-06 (1.5 L=22) [R]	131	CZ-233664	R05-1/L3-01203	2016-06-21	2018-06-21
105996801	E30-825#SF	43	A-234906	R01-2/L5-00166	2016-06-21	2018-06-21
021643402	M SHAFT-16 (1.58B L=33) [R]	260	CZ-234447	R04-2/L5-01000	2016-06-21	2018-06-21
105648901	CS-777	316	641400	R01-2/L5-00150	2016-06-21	2018-06-21
105649101	CS-782	308	641500	R01-1/L1-00117	2016-06-21	2018-06-21
021726401	CS-K5159	3500	16617	R03-1/L4-00600	2016-06-21	2018-06-21
105965101	NP583-090-009P#IN	2145	A060617R	R15-1/L1-03126	2016-06-21	2018-06-21
105648601	NP583-001#CV	2333	E060617R	R22-2/L3-04412	2016-06-21	2018-06-21
102033802	NP483-1521-001#IN-A	25	160616	R12-1/L2-02565	2016-06-21	2018-06-21
106558101	NP587-003#SP	3201	160618	 	2016-06-21	2018-06-21
106558101	NP587-003#SP	4500	160619	 	2016-06-21	2018-06-21
106335101	IC572-1004-004-2#IN-B	522	160616	R16-2/L2-03381	2016-06-21	2018-06-21
103690602	IC542-001#PP	130	B-280616	R17-2/L1-03580	2016-06-21	2018-06-21
020611401	NP351-20881#GP	320	E060615R	R13-1/L3-02727	2016-06-21	2018-06-21
103975901	IC550-0884-002#SD	280	A060608R	R33-2/L2-06290	2016-06-21	2018-06-21
103975901	IC550-0884-002#SD	545	A060613R	R33-2/L2-06290	2016-06-21	2018-06-21
103975901	IC550-0884-002#SD	614	A060610R	R33-2/L2-06290	2016-06-21	2018-06-21
103975901	IC550-0884-002#SD	547	A060614R	R33-2/L2-06290	2016-06-21	2018-06-21
103975901	IC550-0884-002#SD	313	A060609R	R33-2/L2-06290	2016-06-21	2018-06-21
103975901	IC550-0884-002#SD	62	A060520R	R33-2/L2-06290	2016-06-21	2018-06-21
102901502	IC357-0804-074#IN-A	215	B060615R	R21-1/L1-04202	2016-06-21	2018-06-21
022015802	IC357-1444-030P-1#IN-B	198	A060607R	R23-1/L2-04537	2016-06-21	2018-06-21
103975801	IC550-0884-002#IN	840	B060614R	R15-1/L3-03086	2016-06-21	2018-06-21
103975801	IC550-0884-002#IN	1094	B060615R	R15-1/L3-03086	2016-06-21	2018-06-21
020838001	IC357-1004-014#IN-A	1457	B06061512	R40-1/L2-07449	2016-06-21	2018-06-21
020840802	IC357-1444-023P#IN-B	1861	C160613	R15-2/L2-03191	2016-06-21	2018-06-21
020840703	IC357-1444-023#IN-A	1961	B160613	R14-2/L3-03000	2016-06-21	2018-06-21
105649001	CS-778	46800	651700	R01-1/L2-00095	2016-06-21	2018-06-21
103973901	CS-623	10000	151001	R02-1/L5-00290	2016-06-21	2018-06-21
106282301	D15-286#SF	11377	A-234918	R03-2/L4-00734	2016-06-21	2018-06-21
105120601	CS-724	538900	65300	R05-2/L1-01380	2016-06-21	2018-06-21
104813201	IC567-001#LV	54	16-4-22	R05-2/L5-01270	2016-06-21	2018-06-21
104813201	IC567-001#LV	412	16-4-7	R05-2/L5-01270	2016-06-21	2018-06-21
104813201	IC567-001#LV	400	16-6-1	R05-2/L5-01270	2016-06-21	2018-06-21
103459701	IC530-442-012#ME-2	500	D-280614	R03-2/L5-00726	2016-06-21	2018-06-21
106557901	NP587-003#LT	4070	160616	 	2016-06-21	2018-06-21
106281901	NP587-001#LV-2	5000	160209-192-5	R03-2/L5-00707	2016-06-21	2018-06-21
104917401	NP351-400-678#LV	500	160509-199-03	R05-2/L4-01308	2016-06-21	2018-06-21
102034402	NP483-001#LV-B	400	160311-02	R02-2/L1-00535	2016-06-21	2018-06-21
106281801	NP587-001#LV-1	545	160428-135-3	R03-2/L5-00709	2016-06-21	2018-06-21
106281801	NP587-001#LV-1	2455	160601-157	R03-2/L5-00709	2016-06-21	2018-06-21
106094101	NP583-011#LT	13635	A060613R	R09-1/L1-02370	2016-06-21	2018-06-21
106580101	NP351-747#LT	25	160617	 	2016-06-21	2018-06-21
105965301	NP583-009#LT	10364	A060617R	R09-1/L1-02371	2016-06-21	2018-06-21
106282201	C20-060#SF	18214	-	R03-2/L4-00741	2016-06-21	2018-06-21
