item	item_desc	qty	lot_no	location	received_date	exp_date
104348502	CT 4368 #PLUNGER-2	100000	G160223-01-1	blank	2016-03-04	2018-03-04
104348502	CT 4368 #PLUNGER-2	5000	G160223-02-1	blank	2016-03-04	2018-03-04
106466901	QFP11T116-002#ME TDI-16-015	3	160302	 	2016-03-04	2018-03-04
008145601	INSULATOR IC37NR-1603	602	160224	R21-2/L3-04233	2016-03-04	2018-03-04
008144801	INSULATOR IC37NR-2806	200	160224	R25-2/L3-04957	2016-03-04	2018-03-04
020399801	IC201-3044-004#IN-A	25	160225	R14-1/L3-02910	2016-03-04	2018-03-04
020838202	IC357-1004-014#SD	216	B051121R	R33-2/L2-06281	2016-03-04	2018-03-04
020837001	IC357-2084-019#IN-A	10	A050827R	R14-1/L2-02916	2016-03-04	2018-03-04
020837301	IC357-2084-019#LB	10	A050828R	R12-2/L2-02652	2016-03-04	2018-03-04
020097402	IC51-0324-354#PP PES	15	C050825R	R43-2/L4-08115	2016-03-04	2018-03-04
104348603	CT 4368 #SPRING-2 (MICRO)	52000	162A16	blank	2016-03-04	2018-03-04
104348603	CT 4368 #SPRING-2 (MICRO)	142000	162A22	blank	2016-03-04	2018-03-04
106362801	NP568-153-001#IN-A NO.2	11643	160218	 	2016-03-04	2018-03-04
106379001	NP568-001#CV NO.2	12672	160227	 	2016-03-04	2018-03-04
102033802	NP483-1521-001#IN-A	130	160223	R12-1/L2-02565	2016-03-04	2018-03-04
106281401	NP587-001#SP	7000	160224	R21-2/L3-04257	2016-03-04	2018-03-04
106281401	NP587-001#SP	7000	160225	R21-2/L3-04257	2016-03-04	2018-03-04
106281401	NP587-001#SP	3000	160225A	R21-2/L3-04257	2016-03-04	2018-03-04
021067301	IC51-1204-1812-6#LB PEI	25	160225	R16-2/L2-03362	2016-03-04	2018-03-04
105965201	NP583-020-009#LB	135	A060215R	R13-2/L1-02862	2016-03-04	2018-03-04
105965201	NP583-020-009#LB	519	A060218R	R13-2/L1-02862	2016-03-04	2018-03-04
106281801	NP587-001#LV-1	1518	160120-112-5	R03-2/L5-00709	2016-03-04	2018-03-04
106281801	NP587-001#LV-1	5731	160201-123	R03-2/L5-00709	2016-03-04	2018-03-04
106281901	NP587-001#LV-2	1775	160126-145-3	R03-2/L5-00707	2016-03-04	2018-03-04
103974001	CS-624	10000	571500	R01-1/L3-00066	2016-03-04	2018-03-04
