item	item_desc	qty	lot_no	location	received_date	exp_date
104318601	CT 4213-A/B/C	16000		blank	2017-09-05	2018-03-05
104318601	CT 4213-A/B/C	14800		blank	2017-09-05	2018-03-05
021583802	CT 298-2A AU-B	2230		S-RD/L6-00189	2017-09-05	2018-03-05
021583802	CT 298-2A AU-B	10000		S-RD/L6-00189	2017-09-05	2018-03-05
101284001	CT 3320-2 AU-BF	10160		blank	2017-09-05	2018-03-05
101284001	CT 3320-2 AU-BF	10110		blank	2017-09-05	2018-03-05
101284001	CT 3320-2 AU-BF	10000		blank	2017-09-05	2018-03-05
101284001	CT 3320-2 AU-BF	10150		blank	2017-09-05	2018-03-05
101284001	CT 3320-2 AU-BF	19940		blank	2017-09-05	2018-03-05
101284001	CT 3320-2 AU-BF	10252		blank	2017-09-05	2018-03-05
101284001	CT 3320-2 AU-BF	14871		blank	2017-09-05	2018-03-05
101284001	CT 3320-2 AU-BF	18680		blank	2017-09-05	2018-03-05
101284001	CT 3320-2 AU-BF	20960		blank	2017-09-05	2018-03-05
101284001	CT 3320-2 AU-BF	8500		blank	2017-09-05	2018-03-05
101284001	CT 3320-2 AU-BF	10340		blank	2017-09-05	2018-03-05
101284001	CT 3320-2 AU-BF	21260		blank	2017-09-05	2018-03-05
101284001	CT 3320-2 AU-BF	20400		blank	2017-09-05	2018-03-05
101284001	CT 3320-2 AU-BF	10360		blank	2017-09-05	2018-03-05
101284001	CT 3320-2 AU-BF	20110		blank	2017-09-05	2018-03-05
104348502	CT 4368 #PLUNGER-2	16800	G160223-02-1	blank	2016-03-05	2018-03-05
020329401	IC120-0204-005#LV	48	F160120	R09-2/L4-02433	2016-03-05	2018-03-05
020329501	IC120-0684-004#IN-A	8	C160112	R12-1/L2-02578	2016-03-05	2018-03-05
020330101	IC120-0224-001#LV	32	H160107	R09-2/L4-02413	2016-03-05	2018-03-05
020329801	IC120-0444-006#IN-A	12	C150616	R21-1/L2-04177	2016-03-05	2018-03-05
020329901	IC120-0444-006#IN-B	12	G131115	R15-1/L2-03117	2016-03-05	2018-03-05
020329701	IC120-0684-*04#SD-1	8	D151017	R19-2/L2-03907	2016-03-05	2018-03-05
020330001	IC120-0444-*06#SD-1	12	D090514	R19-2/L2-03904	2016-03-05	2018-03-05
020374401	IC189-0202-017#IN-A	2	G090413	blank	2016-03-05	2018-03-05
020376201	IC189-0202-017N#IN-B	2	G090324	blank	2016-03-05	2018-03-05
020443401	IC234-0324-044#LB	3	B150623	R31-2/L3-05886	2016-03-05	2018-03-05
020843003	IC357-0804-031#SD	30	B140122	R33-2/L3-06253	2016-03-05	2018-03-05
020842902	IC357-0804-031P-2#IN-B	30	A160129	R20-2/L3-04080	2016-03-05	2018-03-05
100685902	IC357-1004-002N#IN-B	13	E151110	R36-1/L3-06683	2016-03-05	2018-03-05
105086201	IC357-1444-103#LB	28	C060301R	R41-1/L2-07638	2016-03-05	2018-03-05
020835501	IC357-2164-011#LB	16	B151002	R30-1/L1-05662	2016-03-05	2018-03-05
020182801	IC51-0804-1311#PP PES	9	B111025	blank	2016-03-05	2018-03-05
020182801	IC51-0804-1311#PP PES	11	B160229	blank	2016-03-05	2018-03-05
021113601	IC51-1004-809-24#PL PEI	12	A010220	R08-2/L2-02199	2016-03-05	2018-03-05
105484201	IC561-001#PL-A-7	17	F160202	R35-1/L3-06524	2016-03-05	2018-03-05
102921601	NP486-516-020#LT	11	B151124	R08-1/L1-02089	2016-03-05	2018-03-05
021215902	QON11T016-003#IN	3	A150703	R33-1/L3-06161	2016-03-05	2018-03-05
021216003	QON11T016-003#LB	20	C141208	R31-1/L3-05785	2016-03-05	2018-03-05
021216102	QON11T016-003#PP	20	A150702	R24-2/L2-04826	2016-03-05	2018-03-05
021215602	QON11T024-004#IN	13	A140725	R20-1/L3-03985	2016-03-05	2018-03-05
021215703	QON11T024-004#LB	20	C141208	R30-1/L3-05612	2016-03-05	2018-03-05
021215802	QON11T024-004#PP	20	A141205	R17-1/L2-03470	2016-03-05	2018-03-05
021222001	SMT-8103#IN	24	D150310	R43-2/L4-08124	2016-03-05	2018-03-05
021208004	SON11T008-004#PP	25	160302	R17-1/L1-03489	2016-03-05	2018-03-05
020842802	IC357-0804-031#IN-A	30	A160223	R18-2/L2-03740	2016-03-05	2018-03-05
102857201	IC357-1444-023P-3#IN-B	350	A151204	R34-1/L2-06361	2016-03-05	2018-03-05
020056702	IC51-2084-1052#IN PES	500	160302	R23-1/L2-04538	2016-03-05	2018-03-05
020292301	IC-59-64075#IN PPS	81	M160213	R14-1/L2-02930	2016-03-05	2018-03-05
020292301	IC-59-64075#IN PPS	630	M160218	R14-1/L2-02930	2016-03-05	2018-03-05
020292301	IC-59-64075#IN PPS	193	M160219	R14-1/L2-02930	2016-03-05	2018-03-05
010150701	INSULATOR IC37NR-3204	4	P060912	R18-2/L3-03718	2016-03-05	2018-03-05
010150701	INSULATOR IC37NR-3204	515	P160229	R18-2/L3-03718	2016-03-05	2018-03-05
106108701	NP351-400-678#IN-A-4	449	160303	R34-2/L1-06477	2016-03-05	2018-03-05
103552401	NP481-1225-021#LO	84	160303	R16-1/L2-03281	2016-03-05	2018-03-05
106379001	NP568-001#CV NO.2	6371	160227	 	2016-03-05	2018-03-05
106379001	NP568-001#CV NO.2	21887	160228	 	2016-03-05	2018-03-05
106379001	NP568-001#CV NO.2	20830	160229	 	2016-03-05	2018-03-05
106379001	NP568-001#CV NO.2	7264	160302	 	2016-03-05	2018-03-05
106362801	NP568-153-001#IN-A NO.2	6438	160226	 	2016-03-05	2018-03-05
106362801	NP568-153-001#IN-A NO.2	10792	160227	 	2016-03-05	2018-03-05
106362801	NP568-153-001#IN-A NO.2	9378	160228	 	2016-03-05	2018-03-05
106362801	NP568-153-001#IN-A NO.2	10938	160229	 	2016-03-05	2018-03-05
020508603	NP291-04820#CV-2	72	B150402	R35-1/L1-06565	2016-03-05	2018-03-05
020449701	IC234-1764-059P#IN-B	25	A151225	R15-2/L2-03183	2016-03-05	2018-03-05
020461302	IC234-1004-099#IN-A	49	A121221	R15-2/L2-03204	2016-03-05	2018-03-05
101140302	NP351-841-450#CV	29	C151211	R35-1/L1-06564	2016-03-05	2018-03-05
101861201	NP486-676-001#MO	2	A160215	R42-1/L3-07771	2016-03-05	2018-03-05
101140401	NP351-841-450#LO	30	C160206	R16-1/L2-03276	2016-03-05	2018-03-05
020841002	IC357-1444-023#LB	251	A160128	R30-1/L3-05617	2016-03-05	2018-03-05
101861401	NP486-676-001#LO	4	B160216	R16-1/L2-03271	2016-03-05	2018-03-05
