item	item_desc	qty	lot_no	location	received_date	exp_date
106317801	CT 5355#PLUNGER-A (YEC)	27600	A151212-110	blank	2016-03-11	2018-03-11
106317801	CT 5355#PLUNGER-A (YEC)	24400	A160106-115	blank	2016-03-11	2018-03-11
106326102	CT 5359-Y#SPRING (MICRO)	1000	15ZA21	blank	2016-03-11	2018-03-11
020097302	IC51-0324-354#IN (PEI)	10	H050829R	R21-2/L3-04241	2016-03-11	2018-03-11
020252902	IC51-1204-1497 OSAE PES	5	D060304R	R17-1/L3-03442	2016-03-11	2018-03-11
020252902	IC51-1204-1497 OSAE PES	20	D050617R	R17-1/L3-03442	2016-03-11	2018-03-11
020254701	IC51-4364-1334#PP PES	4	A050915R	R17-1/L1-03496	2016-03-11	2018-03-11
020265701	IC51-0324-1498#PL PEI	34	C060105R	R08-2/L5-02114	2016-03-11	2018-03-11
021205502	PS61-44*-8611#IN	14	H160217	R44-1/L2-08272	2016-03-11	2018-03-11
020265601	IC51-0324-1498#IN PEI	10	B051204R	R25-2/L3-04971	2016-03-11	2018-03-11
020144901	IC53-0804-613#SD PEI	20	D060303R	R14-2/L2-03020	2016-03-11	2018-03-11
020254901	IC51-4364-1334#LO PES	4	C050911R	R16-1/L3-03249	2016-03-11	2018-03-11
023009602	SMT-52421#IN	10	C041202R	R12-1/L2-02569	2016-03-11	2018-03-11
020193201	IC51-1604-1350#IN PES	24	J060106R	R38-2/L2-07184	2016-03-11	2018-03-11
100882803	QFP21T064-004#LB	10	E051209R	R31-2/L2-05914	2016-03-11	2018-03-11
105320901	IC234-0484-089#LB-2	36	A060222R	R31-2/L1-05933	2016-03-11	2018-03-11
105320901	IC234-0484-089#LB-2	44	A060303R	R31-2/L1-05933	2016-03-11	2018-03-11
020289101	IC51-1444-1354-7#LB PEI	1179	D060303R	R31-2/L2-05907	2016-03-11	2018-03-11
020441201	IC234-2564-020#IN-A	576	D060303R	R40-1/L3-07405	2016-03-11	2018-03-11
020441201	IC234-2564-020#IN-A	16	D050701R	R40-1/L3-07405	2016-03-11	2018-03-11
020180501	IC51-1278#LB PPS	10	H050925R	R31-2/L3-05884	2016-03-11	2018-03-11
020180501	IC51-1278#LB PPS	87	H060302R	R31-2/L3-05884	2016-03-11	2018-03-11
021039401	IC51-1004-809-10#LB PEI	30	C051001R	R12-2/L2-02660	2016-03-11	2018-03-11
020444001	IC234-1004-045#LV	263	B160226	R37-2/L2-06989	2016-03-11	2018-03-11
020443901	IC234-1004-045#SD	10	B140206	R33-2/L1-06317	2016-03-11	2018-03-11
020443901	IC234-1004-045#SD	75	B160302	R33-2/L1-06317	2016-03-11	2018-03-11
021206202	PS44-44*-4311#IN	1084	R060304R	R44-1/L2-08261	2016-03-11	2018-03-11
102583503	IC357-0644-068#IN-A	1507	D060303R	R21-1/L3-04169	2016-03-11	2018-03-11
102583702	IC357-0644-068#LB	1995	D060303R	R30-2/L3-05713	2016-03-11	2018-03-11
102901702	IC357-0804-074P#IN-B	2887	B060304R	R36-1/L1-06747	2016-03-11	2018-03-11
023003805	NP364-03249#IN	3150	F160225	R22-2/L1-04491	2016-03-11	2018-03-11
023004002	NP364-03249#LB	8302	C160301	R31-2/L1-05941	2016-03-11	2018-03-11
020443701	IC234-1004-045P#IN-B	7	A150624	R38-1/L3-07060	2016-03-11	2018-03-11
020443701	IC234-1004-045P#IN-B	234	A160303	R38-1/L3-07060	2016-03-11	2018-03-11
020192901	IC51-1444-1354#PP PES	159	C050911R	R17-2/L3-03516	2016-03-11	2018-03-11
020192901	IC51-1444-1354#PP PES	1022	C060303R	R17-2/L3-03516	2016-03-11	2018-03-11
020433802	IC234-1764-002#IN-A	159	F160213	R21-1/L1-04216	2016-03-11	2018-03-11
020497504	NP404-84101#IN-P1	499	G160304	R37-1/L2-06913	2016-03-11	2018-03-11
020497504	NP404-84101#IN-P1	56	G160223	R37-1/L2-06913	2016-03-11	2018-03-11
020438003	IC234-1004-023P#IN-B	152	E060226R	R25-2/L3-04978	2016-03-11	2018-03-11
106443101	NP568-153-001#IN-A NO.3	8750	D160303	blank	2016-03-11	2018-03-11
106443101	NP568-153-001#IN-A NO.3	19250	D160304	blank	2016-03-11	2018-03-11
106443101	NP568-153-001#IN-A NO.3	5250	D160305	blank	2016-03-11	2018-03-11
023003903	NP364-01649#CV	3150	D160226	R35-1/L2-06546	2016-03-11	2018-03-11
105947701	NP364-168#GP	199	160309	R34-1/L1-06402	2016-03-11	2018-03-11
106281401	NP587-001#SP	4000	160308	R21-2/L3-04257	2016-03-11	2018-03-11
103720401	NP506-028#LT	5161	160304	R08-1/L3-02040	2016-03-11	2018-03-11
105432602	IC572-1764-001P#IN-B	182	C060219R	R20-2/L3-04068	2016-03-11	2018-03-11
104917601	NP351-292-678#GP	653	160308	R39-2/L3-07317	2016-03-11	2018-03-11
103720301	NP506-028#GP	3009	160307	R32-2/L2-06101	2016-03-11	2018-03-11
104769601	NP436-17101#IN-B NO.4	4796	F160302	R18-2/L3-03715	2016-03-11	2018-03-11
103459701	IC530-442-012#ME-2	200	D-280309	R03-2/L5-00726	2016-03-11	2018-03-11
101140201	NP351-841-450#MO	15	B151211	R42-1/L3-07770	2016-03-11	2018-03-11
101140201	NP351-841-450#MO	15	B160308	R42-1/L3-07770	2016-03-11	2018-03-11
020840902	IC357-1444-023#SD	11	A160215	R33-2/L3-06237	2016-03-11	2018-03-11
020840902	IC357-1444-023#SD	38	A160213	R33-2/L3-06237	2016-03-11	2018-03-11
103298403	NP383-204#CV	20	D060301R	R35-1/L2-06539	2016-03-11	2018-03-11
103297901	NP383-576-204#MO	20	A060303R	R42-1/L3-07772	2016-03-11	2018-03-11
