item	item_desc	qty	lot_no	location	received_date	exp_date
104595401	IC500-0484-012P#IN-B	40	B160222	R34-1/L1-06389	2016-03-16	2018-03-16
020251901	IC51-2084-1052-5#LB PEI	30	F151105	R31-1/L2-05832	2016-03-16	2018-03-16
102059203	QFN11T048-013#LB	57	C050211R	R30-1/L1-05661	2016-03-16	2018-03-16
102334401	SOP21T048-009#LB	10	A050917R	R30-2/L3-05718	2016-03-16	2018-03-16
106481201	IC564-128-077#LO(10-99)	14	A20160311	blank	2016-03-16	2018-03-16
106481001	IC564-128-077#MO-1(10-99)	14	A20160311	blank	2016-03-16	2018-03-16
106481701	IC564-024-080#MO-2 (1-9)	6	A20160311	blank	2016-03-16	2018-03-16
106481101	IC564-128-077#MO-2(10-99)	14	A20160311	blank	2016-03-16	2018-03-16
106482001	IC564-080#GP (1-9)	6	A20160311	blank	2016-03-16	2018-03-16
106481801	IC564-024-080#LO (1-9)	6	A20160311	blank	2016-03-16	2018-03-16
106481401	IC564-077#GP(10-99)	14	A20160311	blank	2016-03-16	2018-03-16
106481901	IC564-024-080#SD (1-9)	6	A20160311	blank	2016-03-16	2018-03-16
106481301	IC564-128-077#SD(10-99)	14	A20160311	blank	2016-03-16	2018-03-16
106482101	IC564-080#PL (1-9)	6	A20160311	blank	2016-03-16	2018-03-16
106481601	IC564-024-080#MO-1 (1-9)	6	A20160311	blank	2016-03-16	2018-03-16
102059101	QFN11T048-013#IN	81	C051208R	R33-1/L2-06182	2016-03-16	2018-03-16
102059302	QFN11T048-013#PL	80	C051223R	R07-2/L4-01855	2016-03-16	2018-03-16
102828601	QFP21T100-010#IN-B	25	A101004	R34-1/L2-06351	2016-03-16	2018-03-16
020279901	IC51-2404-1655#IN PEI	25	C160105	R14-2/L2-03019	2016-03-16	2018-03-16
101744401	SOP21T048-008#IN	20	A050729R	R14-2/L3-02985	2016-03-16	2018-03-16
020835301	IC357-2164-011P#IN-B	9	A151214	R20-1/L2-04000	2016-03-16	2018-03-16
020835301	IC357-2164-011P#IN-B	31	A160307	R20-1/L2-04000	2016-03-16	2018-03-16
010125701	INSULATOR PS-22H-144	100	160309	R44-1/L2-08278	2016-03-16	2018-03-16
020021401	IC70-1521#IN PES	188	G151126	R15-2/L3-03162	2016-03-16	2018-03-16
020280101	IC51-2404-1655#PL PEI	30	D150630	R07-2/L4-01851	2016-03-16	2018-03-16
106200301	PS44-44-5011#IN	496	160311	R44-2/L1-08398	2016-03-16	2018-03-16
020404901	IC201-1004-028P#IN-B	25	160314	R15-1/L1-03135	2016-03-16	2018-03-16
