item	item_desc	qty	lot_no	location	received_date	exp_date
102983801	M-SHAFT-162[R]	15000	CZ-234554-306555	R06-1/L5-01415	2016-03-18	2018-03-18
105901901	IC564-004#GP	100	A051214R	R12-2/L3-02630	2016-03-18	2018-03-18
102831501	CT 3931-Y #PLUNGER-B (YEC)	510	C151113-015	blank	2016-03-18	2018-03-18
102831301	CT 3931-Y #BARREL (YEC)	527	131111-NT	blank	2016-03-18	2018-03-18
105875301	CT 5194-Y#BARREL (YEC)	125	A150622-014	blank	2016-03-18	2018-03-18
106495701	CT 5400#PLUNGER-A-2 (YEC)	10188	160317	 	2016-03-18	2018-03-18
106317801	CT 5355#PLUNGER-A (YEC)	38800	A160303-003	blank	2016-03-18	2018-03-18
106037101	COIL SPRING K5060	100	16318	R03-2/L2-00795	2016-03-18	2018-03-18
106281401	NP587-001#SP	4000	160316/160317	R21-2/L3-04257	2016-03-18	2018-03-18
102983901	CS-549	12800	160310	R02-1/L2-00370	2016-03-18	2018-03-18
103497201	NP506-056-017#IN	1614	160315	R21-2/L1-04317	2016-03-18	2018-03-18
103497201	NP506-056-017#IN	2956	160314	R21-2/L1-04317	2016-03-18	2018-03-18
021201102	QFN11T032-003#IN	20	A060308R	R37-1/L1-06921	2016-03-18	2018-03-18
021201102	QFN11T032-003#IN	20	A060310R	R37-1/L1-06921	2016-03-18	2018-03-18
021206202	PS44-44*-4311#IN	40	R060310R	R44-1/L2-08261	2016-03-18	2018-03-18
020842003	IC357-1444-030#SD	715	B060310R	R33-2/L3-06258	2016-03-18	2018-03-18
020846102	IC357-0804-034P#IN-B	96	A060310R	R38-2/L3-07158	2016-03-18	2018-03-18
020846002	IC357-0804-034#IN-A	97	A060308R	R21-1/L2-04198	2016-03-18	2018-03-18
102482001	SOP21T084-001#IN	20	B060311R	R14-2/L3-02986	2016-03-18	2018-03-18
021058401	IC51-0382-2036#IN PEI	100	D060308R	R14-2/L3-02988	2016-03-18	2018-03-18
020172601	IC51-2084-1052-4#IN PES	4	C060114R	R38-1/L2-07100	2016-03-18	2018-03-18
020095101	IC51-0684-390#IN PES	5	Q151102	R12-1/L3-02544	2016-03-18	2018-03-18
106292501	IC572-0804-006#IN-A	8	A160310	R12-1/L3-02546	2016-03-18	2018-03-18
020438501	IC234-0804-019P#IN-B	45	C151009	R15-1/L2-03119	2016-03-18	2018-03-18
020071901	IC51-0242-980#IN PES	50	D160311	R20-1/L3-03963	2016-03-18	2018-03-18
020111101	IC51-0804-672#PP PPS	10	E111012	R17-1/L2-03454	2016-03-18	2018-03-18
