item	item_desc	qty	lot_no	location	received_date	exp_date
106558101	NP587-003#SP	5000	160624	 	2016-06-28	2018-06-28
106558101	NP587-003#SP	14284	160625	 	2016-06-28	2018-06-28
106558401	NP587-003#SP-C	739	B060622R	 	2016-06-28	2018-06-28
106558301	NP587-003#SP-B	210	A060622R	 	2016-06-28	2018-06-28
106558201	NP587-003#SP-A	210	A060622R	 	2016-06-28	2018-06-28
020841803	IC357-1444-030#IN-A	20	B060624R	blank	2016-06-28	2018-06-28
105923201	NP383-308-341#IN-B	51	160624	R15-1/L2-03111	2016-06-28	2018-06-28
106142101	IC-871-1#LB	4342	A060620R	R14-1/L2-02939	2016-06-28	2018-06-28
106142201	IC-871-1#LT	10876	A060620R	R06-2/L5-01552	2016-06-28	2018-06-28
020846502	IC357-1004-014N-1#IN-B	3390	A060621R	R12-1/L1-02605	2016-06-28	2018-06-28
105099201	IC357-1764-112P#IN-B	597	A160623	R15-1/L2-03098	2016-06-28	2018-06-28
106097001	NP469-017#GP	255	A060606R	blank	2016-06-28	2018-06-28
106097001	NP469-017#GP	36	A060524R	blank	2016-06-28	2018-06-28
106097001	NP469-017#GP	315	A060603R	blank	2016-06-28	2018-06-28
102442601	IC389-0202-013P#IN-B	3185	160623	R25-1/L3-04879	2016-06-28	2018-06-28
106282401	NP587-001#SF	27300	A-234924	R03-2/L4-00746	2016-06-28	2018-06-28
021095501	IC51-1284-1433-14#PL PEI	30	160623	R08-2/L3-02181	2016-06-28	2018-06-28
020437201	IC234-1204-017#LV	13	C060614R	R09-2/L5-02402	2016-06-28	2018-06-28
020055701	IC51-0162-1035-1#PP PES	72	B050617R	R17-2/L1-03593	2016-06-28	2018-06-28
106096901	NP469-3677-017#IN-B	71	C060608R	R21-1/L2-04192	2016-06-28	2018-06-28
106379001	NP568-001#CV NO.2	8762	160617	blank	2016-06-28	2018-06-28
106379001	NP568-001#CV NO.2	9143	160618	blank	2016-06-28	2018-06-28
103298101	NP383-576-204#LO	480	A060621R	R32-1/L3-05983	2016-06-28	2018-06-28
103826201	NP383-204#CV-3	482	D060620R	R35-2/L3-06610	2016-06-28	2018-06-28
103297901	NP383-576-204#MO	482	A060620R	R42-1/L3-07772	2016-06-28	2018-06-28
106582501	IC542-038#PL	41	160624	 	2016-06-28	2018-06-28
104794901	NP506-061#GP	384	C060613R	R21-2/L3-04255	2016-06-28	2018-06-28
102292501	IC409-400-001#IN-4	600	E060621R	R22-2/L2-04457	2016-06-28	2018-06-28
104794701	NP506-061#CV	407	C060613R	R24-1/L2-04733	2016-06-28	2018-06-28
105416702	NP351-400-678#IN-A-2	578	160623	R18-1/L1-03667	2016-06-28	2018-06-28
106583601	NP596-1056-002#MO	714	160622	 	2016-06-28	2018-06-28
106579301	CT 5127 #BARREL-5	-18690	D160601-01M-1	 	2016-06-28	2018-06-28
106563401	CT 5420-Y#SPRING (MICRO)	10000	165A241	 	2016-06-28	2018-06-28
106592201	CT 5355-2#PLUNGER-A (YEC)	25487	A160607-104	 	2016-06-28	2018-06-28
105101301	NP383-302#LT	965	A060621R	R39-2/L1-07387	2016-06-28	2018-06-28
104795001	NP506-061#LT	1877	C060610R	R06-2/L1-01662	2016-06-28	2018-06-28
106584001	NP596-002#LT	1248	160625	 	2016-06-28	2018-06-28
020583001	NP276-52928#GP	54	C060408R	R13-2/L3-02820	2016-06-28	2018-06-28
020583001	NP276-52928#GP	161	C060620R	R13-2/L3-02820	2016-06-28	2018-06-28
105346301	IC561-020#PB-L-2	14	C160427	R25-2/L2-04997	2016-06-28	2018-06-28
102472702	NP383-055-150#GP	97	B160330	R32-2/L3-06065	2016-06-28	2018-06-28
104917701	NP351-292-678#LT	510	160623	R37-2/L2-07003	2016-06-28	2018-06-28
106582901	IC542-038#GP	41	B20160623-5	 	2016-06-28	2018-06-28
101881602	IC398-0156-176#LT	301	C060617R	blank	2016-06-28	2018-06-28
106583901	NP596-002#LV	2865	160622	 	2016-06-28	2018-06-28
021711901	ST-74 PEI JD	29	C060620R	R44-2/L1-08381	2016-06-28	2018-06-28
020864104	IC398-0151-001#CV	20	G060620R	R35-2/L1-06663	2016-06-28	2018-06-28
102983901	CS-549	39700	160414	R02-1/L2-00370	2016-06-28	2018-06-28
106282001	CS-850	2283	160608	R01-1/L2-00091	2016-06-28	2018-06-28
100614101	CS-201	6000	160606-A-66	R01-1/L2-00088	2016-06-28	2018-06-28
021662702	P SHAFT123 (2.0 L=40.5) [R]	10	CE-232050	R06-1/L3-01475	2016-06-28	2018-06-28
105986701	IC542-027#ME	346	A-234936	R05-2/L1-01391	2016-06-28	2018-06-28
101125301	HEX NUT M1.6 TYPE-2 SUS	8040	150203	R03-2/L3-00784	2016-06-28	2018-06-28
106098201	GP-336	1212	A-234437	R03-1/L5-00575	2016-06-28	2018-06-28
104813701	E30-541#SF	124	A-234741	R05-2/L5-01261	2016-06-28	2018-06-28
105649201	D13-136#SF	22849	A-234937	R06-1/L2-01511	2016-06-28	2018-06-28
021659902	P SHAFT-92 (1.0 L=34.5) [R]	21	CE-233865	R06-1/L4-01453	2016-06-28	2018-06-28
105649201	D13-136#SF	14000	A-234941	R06-1/L2-01511	2016-06-28	2018-06-28
104813801	C20-134#SF	251	A-234742	R05-2/L5-01265	2016-06-28	2018-06-28
104813901	E30-615#SF	125	A-234632	R04-2/L1-01119	2016-06-28	2018-06-28
021650902	P SHAFT-13 (1.5 L=27.5) [R]	142	CE-234865	R06-1/L5-01425	2016-06-28	2018-06-28
021651402	P SHAFT-2 (1.5 L=31.0) [R]	80	CE-234144	R06-1/L5-01422	2016-06-28	2018-06-28
105631701	TR313-0511	165	1	blank	2016-06-28	2018-06-28
106558201	NP587-003#SP-A	142	A060623R	 	2016-06-28	2018-06-28
106558201	NP587-003#SP-A	148	A060622R	 	2016-06-28	2018-06-28
106558401	NP587-003#SP-C	1241	B060623R	 	2016-06-28	2018-06-28
106558301	NP587-003#SP-B	142	A060623R	 	2016-06-28	2018-06-28
106558301	NP587-003#SP-B	148	A060622R	 	2016-06-28	2018-06-28
105346301	IC561-020#PB-L-2	250	C160314	R25-2/L2-04997	2016-06-28	2018-06-28
105989601	IC561-119#MO	87	A20160627-5	blank	2016-06-28	2018-06-28
105989701	IC561-119#PL	86	A20160627-5	blank	2016-06-28	2018-06-28
103974201	CT 4310	2300	B-C013	blank	2016-06-28	2018-06-28
106604701	CT 5456#SPRING (MICRO)	2941	166A22	 	2016-06-28	2018-06-28
106563201	CT 5420-Y#PLUNGER-A (YEC)	12970	A160614-019	 	2016-06-28	2018-06-28
106563201	CT 5420-Y#PLUNGER-A (YEC)	4134	A160610-007	 	2016-06-28	2018-06-28
105004701	CT 4792-Y #PLUNGER-A-2 (YEC)	221	A160606-005	blank	2016-06-28	2018-06-28
105004501	CT 4792-Y #PLUNGER-B (YEC)	202	A160603-016	blank	2016-06-28	2018-06-28
104348503	CT 4368 #PLUNGER-2 IMPROVEMENT MATERIALS	129970	J160622-01-1	 	2016-06-28	2018-06-28
