item	item_desc	qty	lot_no	location	received_date	exp_date
104655201	CT 4368 #PLUNGER-4 (MICRO)	38000	G160303-01-1	blank	2016-03-10	2018-03-10
020214401	IC51-1284-1702#PL PEI	205	C160202	R07-2/L1-01960	2016-03-10	2018-03-10
020214301	IC51-1284-1702#LB PEI	200	A160213	R31-1/L2-05815	2016-03-10	2018-03-10
020331201	IC120-0444-106#IN-B	89	F160303	R37-1/L2-06916	2016-03-10	2018-03-10
020331201	IC120-0444-106#IN-B	935	F160213	R37-1/L2-06916	2016-03-10	2018-03-10
101116603	IC-746-1#IN	344	D051030R	R33-1/L3-06152	2016-03-10	2018-03-10
020292301	IC-59-64075#IN PPS	497	M160219	R14-1/L2-02930	2016-03-10	2018-03-10
020190401	IC51-0242-1341MF#IN PES	210	160303	R36-1/L2-06714	2016-03-10	2018-03-10
104998901	IC357-1444-107P#IN-B	219	A160129	R23-1/L1-04583	2016-03-10	2018-03-10
104998901	IC357-1444-107P#IN-B	877	A160228	R23-1/L1-04583	2016-03-10	2018-03-10
104998901	IC357-1444-107P#IN-B	900	A160226	R23-1/L1-04583	2016-03-10	2018-03-10
102901801	IC357-0804-074#LB	2894	C060301R	R16-2/L3-03359	2016-03-10	2018-03-10
023003903	NP364-01649#CV	2951	D160226	R35-1/L2-06546	2016-03-10	2018-03-10
020840002	IC357-0604-028P-2#IN-B	50	80108	R33-1/L1-06204	2016-03-10	2018-03-10
020839903	IC357-0604-028#IN-A	50	140108	R21-1/L1-04209	2016-03-10	2018-03-10
021210701	PS49-44H-5001#IN	50	101217	R44-1/L2-08268	2016-03-10	2018-03-10
021000101	QFP11T044-001#IN PEI	100	C151202	R33-1/L3-06163	2016-03-10	2018-03-10
021137103	IC51-0422-393#IN NO.2 PES	53	H160205	R33-1/L1-06227	2016-03-10	2018-03-10
020214202	IC51-1284-1702#IN PEI	204	B160222	R40-2/L2-07537	2016-03-10	2018-03-10
010125002	BASE PLATE IC-115-2 (PES)	100	160306	R44-1/L1-08297	2016-03-10	2018-03-10
