item	item_desc	qty	lot_no	location	received_date	exp_date
101861201	NP486-676-001#MO	4	A160215	R42-1/L3-07771	2016-03-17	2018-03-17
101861401	NP486-676-001#LO	4	B160216	R16-1/L2-03271	2016-03-17	2018-03-17
106142101	IC-871-1#LB	2520	A060314R	R14-1/L2-02939	2016-03-17	2018-03-17
106142201	IC-871-1#LT	-5533	A050522R	R06-2/L5-01552	2016-03-17	2018-03-17
106142201	IC-871-1#LT	-4790	A060311R	R06-2/L5-01552	2016-03-17	2018-03-17
106142201	IC-871-1#LT	-914	A060314R	R06-2/L5-01552	2016-03-17	2018-03-17
106142001	IC-871-1#IN	2940	A060315R	blank	2016-03-17	2018-03-17
106455602	IC561-180#HS-2	320	B20160315	blank	2016-03-17	2018-03-17
106514401	CT 5282-Y #BARREL-3 TDI-16-050	200	SA160307-013	 	2016-03-17	2018-03-17
106495701	CT 5400#PLUNGER-A-2 (YEC)	18200	160315	 	2016-03-17	2018-03-17
106495801	CT 5400#PLUNGER-B-2 (YEC)	27400	160315	 	2016-03-17	2018-03-17
106317801	CT 5355#PLUNGER-A (YEC)	40850	A160216-017	blank	2016-03-17	2018-03-17
106284601	CT 5343-Y#PLUNGER-A (YEC)	10464	A160304-019	blank	2016-03-17	2018-03-17
020283802	IC51-2564-1668#IN PEI	10	B151112	R21-2/L3-04247	2016-03-17	2018-03-17
101538501	SON11T008-011#IN	10	A140625	R20-1/L3-03972	2016-03-17	2018-03-17
103287401	IC357-1764-081#IN-A	2	C160202	R19-1/L3-03784	2016-03-17	2018-03-17
020439801	IC234-0644-027P#IN-B	21	D151216	R14-2/L1-03050	2016-03-17	2018-03-17
020446701	IC234-1444-053#IN-A	4	B160302	R40-1/L2-07447	2016-03-17	2018-03-17
020250501	IC51-2404-1423#IN PES	6	B100811	R40-1/L1-07489	2016-03-17	2018-03-17
021232201	SMT-36321#IN (PAIR)	20	A150803	R21-2/L2-04266	2016-03-17	2018-03-17
021169101	SOP21T024-002#IN PEI	30	C140701	R18-1/L2-03642	2016-03-17	2018-03-17
105973301	IC51-0644-807-13#PL	30	160313	R07-2/L1-01958	2016-03-17	2018-03-17
101538601	SON11T008-011#LB	-25	A160309	R30-1/L2-05660	2016-03-17	2018-03-17
020446901	IC234-1444-053#LB	4	A160229	R30-1/L3-05618	2016-03-17	2018-03-17
021071101	IC51-2564-1668-10#LB PEI	10	D151209	R31-2/L1-05937	2016-03-17	2018-03-17
102857201	IC357-1444-023P-3#IN-B	3	A151204	R34-1/L2-06361	2016-03-17	2018-03-17
020265601	IC51-0324-1498#IN PEI	8	B051204R	R25-2/L3-04971	2016-03-17	2018-03-17
020027401	IC-46-1610 HT#IN	134	G051116R	R38-2/L1-07220	2016-03-17	2018-03-17
106181801	SOP11T020-013#PP	7	A150724	R13-2/L3-02815	2016-03-17	2018-03-17
020073101	IC51-0202-1026#PP PES	30	D140124	R17-2/L3-03538	2016-03-17	2018-03-17
021232301	SMT-36321#PP (PAIR)	22	B150803	R36-2/L2-06828	2016-03-17	2018-03-17
020840703	IC357-1444-023#IN-A	2	B160122	R14-2/L3-03000	2016-03-17	2018-03-17
101538701	SON11T008-011#PL	20	A140623	R07-2/L3-01880	2016-03-17	2018-03-17
020113401	IC51-0242-684#PP PES	2	A160201	R36-2/L3-06799	2016-03-17	2018-03-17
021076702	IC51-0484-806-7#LB PEI	25	160314	R12-2/L2-02651	2016-03-17	2018-03-17
106200301	PS44-44-5011#IN	378	160311	R44-2/L1-08398	2016-03-17	2018-03-17
103497201	NP506-056-017#IN	2773	160312	R21-2/L1-04317	2016-03-17	2018-03-17
103497201	NP506-056-017#IN	1157	160313	R21-2/L1-04317	2016-03-17	2018-03-17
106292501	IC572-0804-006#IN-A	54	A151208	R12-1/L3-02546	2016-03-17	2018-03-17
106292501	IC572-0804-006#IN-A	310	A160310	R12-1/L3-02546	2016-03-17	2018-03-17
106292801	IC572-0804-007#IN-B	49	A151208	R12-1/L2-02563	2016-03-17	2018-03-17
106292801	IC572-0804-007#IN-B	215	A160311	R12-1/L2-02563	2016-03-17	2018-03-17
106292801	IC572-0804-007#IN-B	100	A160314	R12-1/L2-02563	2016-03-17	2018-03-17
106256601	CT 5233#SPRING	1210	16-3-15	blank	2016-03-17	2018-03-17
106479601	CT 5400#BARREL (YEC)	25800	a160304-02-1	blank	2016-03-17	2018-03-17
103454601	CT 4123-Y #BARREL (MEKKI)	1000	16-3-16	blank	2016-03-17	2018-03-17
020450501	IC234-1004-008#LV-D NO.2	180	G151126	R09-2/L3-02451	2016-03-17	2018-03-17
104643601	CT 4368 #PLUNGER-1	29413	G150428-02-1	blank	2016-03-17	2018-03-17
103860101	CT 4241 #PLUNGER-B	6000	A160303-01-1	blank	2016-03-17	2018-03-17
102793901	NP506-088-006#IN	16	A051118R	R38-1/L1-07112	2016-03-17	2018-03-17
020256501	IC51-1764-1505#PL PES	20	B160105	R08-2/L4-02143	2016-03-17	2018-03-17
020846202	IC357-0804-034#SD	96	A041010R	R19-2/L3-03891	2016-03-17	2018-03-17
020438003	IC234-1004-023P#IN-B	25	E060308R	R25-2/L3-04978	2016-03-17	2018-03-17
020437901	IC234-1004-023#IN-A	39	B060310R	R21-1/L3-04163	2016-03-17	2018-03-17
104783701	IC-657-9#IN	100	A150522	R18-1/L2-03645	2016-03-17	2018-03-17
106471801	NP364-184#LT-3	7535	A060307R	blank	2016-03-17	2018-03-17
020446801	IC234-1444-053P#IN-B	4	A160224	R14-2/L3-02982	2016-03-17	2018-03-17
104379801	IC561-001#GP	76	A140502	R26-1/L1-05160	2016-03-17	2018-03-17
020438201	IC234-1004-023#LV	96	D060309R	R27-1/L1-05443	2016-03-17	2018-03-17
106486201	NP364-182#LT-2	-18	160314	blank	2016-03-17	2018-03-17
106486101	NP364-182#LT-1	25	160312	blank	2016-03-17	2018-03-17
106471601	NP364-026-184#LB	350	A060310R	blank	2016-03-17	2018-03-17
106471601	NP364-026-184#LB	4577	A060311R	blank	2016-03-17	2018-03-17
103497501	NP506-017#GP	1998	160311	R32-2/L1-06117	2016-03-17	2018-03-17
106471401	NP364-026-184#IN	4580	A060310R	blank	2016-03-17	2018-03-17
106471401	NP364-026-184#IN	347	A060309R	blank	2016-03-17	2018-03-17
106142101	IC-871-1#LB	5946	A060314R	R14-1/L2-02939	2016-03-17	2018-03-17
106142101	IC-871-1#LB	30	A050526R	R14-1/L2-02939	2016-03-17	2018-03-17
106142001	IC-871-1#IN	8397	A060315R	blank	2016-03-17	2018-03-17
106142001	IC-871-1#IN	-84	A050526R	blank	2016-03-17	2018-03-17
104501602	IC234-2564-142#LB	193	C160302	R30-1/L2-05653	2016-03-17	2018-03-17
021683001	IC53 SERIES ST-SHAFT NO.2[R]	20	C-013590-306507	R03-2/L1-00830	2016-03-17	2018-03-17
106281401	NP587-001#SP	1500	160313	R21-2/L3-04257	2016-03-17	2018-03-17
021651702	P SHAFT-21 (1.5 L=28.5) [R]	24	CE-234378-306498	R06-1/L4-01433	2016-03-17	2018-03-17
104965901	IC357-1004-104P#IN-B	703	A160304	R23-1/L2-04556	2016-03-17	2018-03-17
104965901	IC357-1004-104P#IN-B	292	A160308	R23-1/L2-04556	2016-03-17	2018-03-17
105568101	IC561-001#IN-A	303	C160309	R12-1/L1-02602	2016-03-17	2018-03-17
104965801	IC357-1004-104#IN-A	993	A160304	R41-1/L1-07666	2016-03-17	2018-03-17
104172801	NP483-001#ME-3	447	16-3-15	R39-2/L2-07348	2016-03-17	2018-03-17
105947401	NP364-070-168#IN	199	160314	R34-2/L1-06481	2016-03-17	2018-03-17
105801801	NP383-328#GP-2	382	160313	R13-1/L3-02726	2016-03-17	2018-03-17
105881801	NP506-068#GP	1469	160314	R14-1/L3-02902	2016-03-17	2018-03-17
020447101	IC234-1444-053#LV	14	A160225	R37-2/L2-06981	2016-03-17	2018-03-17
104326801	CS-643	1000	160126	R01-1/L5-00006	2016-03-17	2018-03-17
103498201	CS-585	19300	16-3-16	R02-1/L1-00409	2016-03-17	2018-03-17
105432901	CS-K1002	3420	16-3-15	R03-2/L2-00785	2016-03-17	2018-03-17
103742501	D12-124#SF-2	15097	D-234485-306475	R06-1/L1-01520	2016-03-17	2018-03-17
