item	item_desc	qty	lot_no	location	received_date	exp_date
106034101	NP504-504-018#CV	-3750	160425-72		2016-06-25	2018-06-25
106034901	NP504-899-018#LO	43	160422-70		2016-06-25	2018-06-25
106381701	NP504-432-073#LB	29	160622-96	blank	2016-06-25	2018-06-25
106409701	NP571-296-003#IN-6	300	160615-66	blank	2016-06-25	2018-06-25
106409701	NP571-296-003#IN-6	2000	MS160614	blank	2016-06-25	2018-06-25
106409701	NP571-296-003#IN-6	4000	MP160610	blank	2016-06-25	2018-06-25
106409701	NP571-296-003#IN-6	4000	MP160609	blank	2016-06-25	2018-06-25
106054201	NP504-1360-017#LO	330	C160507	blank	2016-06-25	2018-06-25
106054201	NP504-1360-017#LO	1400	C160509	blank	2016-06-25	2018-06-25
106053801	NP504-361-017#SP-A	8000	MP160610	blank	2016-06-25	2018-06-25
106053801	NP504-361-017#SP-A	1108	160614-61	blank	2016-06-25	2018-06-25
106053801	NP504-361-017#SP-A	1125	160504-11	blank	2016-06-25	2018-06-25
106065602	NP504-1096-021#SP-B	5000	NP160610	blank	2016-06-25	2018-06-25
106065602	NP504-1096-021#SP-B	3660	160613-52	blank	2016-06-25	2018-06-25
106065602	NP504-1096-021#SP-B	1500	NP160509	blank	2016-06-25	2018-06-25
106065602	NP504-1096-021#SP-B	139	160509-21	blank	2016-06-25	2018-06-25
106303701	NP504-272-014#SP-1	16500	F160329	R12-2/L2-02658	2016-06-25	2018-06-25
106303701	NP504-272-014#SP-1	7000	F160424	R12-2/L2-02658	2016-06-25	2018-06-25
106303701	NP504-272-014#SP-1	11000	F160423	R12-2/L2-02658	2016-06-25	2018-06-25
106303701	NP504-272-014#SP-1	7000	F160421	R12-2/L2-02658	2016-06-25	2018-06-25
106303701	NP504-272-014#SP-1	3500	F160503	R12-2/L2-02658	2016-06-25	2018-06-25
106303701	NP504-272-014#SP-1	2500	F160418	R12-2/L2-02658	2016-06-25	2018-06-25
106303701	NP504-272-014#SP-1	11000	F160404	R12-2/L2-02658	2016-06-25	2018-06-25
106303701	NP504-272-014#SP-1	5500	F160401	R12-2/L2-02658	2016-06-25	2018-06-25
106303701	NP504-272-014#SP-1	3500	F160402	R12-2/L2-02658	2016-06-25	2018-06-25
106303701	NP504-272-014#SP-1	2000	F160323	R12-2/L2-02658	2016-06-25	2018-06-25
106303701	NP504-272-014#SP-1	3000	F2016.3.16	R12-2/L2-02658	2016-06-25	2018-06-25
106303701	NP504-272-014#SP-1	1000	F2016.3.15	R12-2/L2-02658	2016-06-25	2018-06-25
106303701	NP504-272-014#SP-1	2500	F2016.3.10	R12-2/L2-02658	2016-06-25	2018-06-25
106303701	NP504-272-014#SP-1	2500	F160309	R12-2/L2-02658	2016-06-25	2018-06-25
106303701	NP504-272-014#SP-1	3000	F160429	R12-2/L2-02658	2016-06-25	2018-06-25
106054201	NP504-1360-017#LO	1770	C160618	blank	2016-06-25	2018-06-25
106053801	NP504-361-017#SP-A	3	160614-61	blank	2016-06-25	2018-06-25
106053501	NP571-296-003#CV	4252	NP160613	blank	2016-06-25	2018-06-25
106053501	NP571-296-003#CV	1512	MP160609	blank	2016-06-25	2018-06-25
106053501	NP571-296-003#CV	1512	NP160609	blank	2016-06-25	2018-06-25
106053501	NP571-296-003#CV	1511	NP160621	blank	2016-06-25	2018-06-25
106053501	NP571-296-003#CV	1512	NP160610	blank	2016-06-25	2018-06-25
105786401	NP571-296-003#LV-1	4727	160610-47	blank	2016-06-25	2018-06-25
105786401	NP571-296-003#LV-1	6470	160504-13	blank	2016-06-25	2018-06-25
105786401	NP571-296-003#LV-1	8660	160608	blank	2016-06-25	2018-06-25
020381101	IC189-0482-075#IN-B	52	B060620R	R19-1/L2-03827	2016-06-25	2018-06-25
020270301	IC51-0562-1571#LB PEI	94	E060615R	R41-1/L2-07630	2016-06-25	2018-06-25
021088001	IC51-1204-1812-9#LB PEI	30	B050806R	R30-1/L1-05669	2016-06-25	2018-06-25
104813001	IC567-001#GP-3	195	B140709	R27-1/L2-05422	2016-06-25	2018-06-25
020270101	IC51-0562-1571#PP PEI	67	C060615R	R23-2/L2-04626	2016-06-25	2018-06-25
104544101	IC-797-3#IN-C-1	18	C150901	R18-1/L2-03648	2016-06-25	2018-06-25
021050902	IC51-1764-1995#IN PEI	25	160622	R12-1/L1-02590	2016-06-25	2018-06-25
