item	item_desc	qty	lot_no	location	received_date	exp_date
105099201	IC357-1764-112P#IN-B	360	A160304	R15-1/L2-03098	2016-03-12	2018-03-12
105099201	IC357-1764-112P#IN-B	274	A160307	R15-1/L2-03098	2016-03-12	2018-03-12
104501602	IC234-2564-142#LB	458	C160302	R30-1/L2-05653	2016-03-12	2018-03-12
020441301	IC234-2564-020P#IN-B	442	B060303R	R14-2/L2-03016	2016-03-12	2018-03-12
020441301	IC234-2564-020P#IN-B	130	B060307R	R14-2/L2-03016	2016-03-12	2018-03-12
104965901	IC357-1004-104P#IN-B	463	A160304	R23-1/L2-04556	2016-03-12	2018-03-12
102583503	IC357-0644-068#IN-A	488	D060307R	R21-1/L3-04169	2016-03-12	2018-03-12
105328101	SOP11T028-008#IN	180	C160127	R40-2/L3-07500	2016-03-12	2018-03-12
105328301	SOP11T028-008#PP	88	C150908	R36-2/L1-06833	2016-03-12	2018-03-12
021201302	QFN11T032-002#PL	50	D150915	R07-2/L5-01838	2016-03-12	2018-03-12
021204502	PS44-44-3611#IN	41	R050831R	R44-1/L2-08260	2016-03-12	2018-03-12
020124404	IC53-0484-100#IN PES	10	160310	R40-2/L2-07536	2016-03-12	2018-03-12
103554901	NP481-681-021#LT-A	85	160304	R09-2/L2-02468	2016-03-12	2018-03-12
102052401	IC-747-3#IN	4	A140523	R12-1/L1-02608	2016-03-12	2018-03-12
102052401	IC-747-3#IN	16	A160307	R12-1/L1-02608	2016-03-12	2018-03-12
105880701	IC234-0644-027P-2#IN-B	45	D150817	R22-2/L3-04422	2016-03-12	2018-03-12
021019001	IC51-2164-1887#IN PEI	10	B151226	R38-2/L1-07209	2016-03-12	2018-03-12
020254601	IC51-4364-1334#IN PES	3	D040311R	R25-1/L2-04895	2016-03-12	2018-03-12
104965801	IC357-1004-104#IN-A	267	A160304	R41-1/L1-07666	2016-03-12	2018-03-12
102857201	IC357-1444-023P-3#IN-B	9	A151204	R34-1/L2-06361	2016-03-12	2018-03-12
023013502	ACC-238#PP	-10	D060302R	R36-2/L2-06821	2016-03-12	2018-03-12
021247102	SMT-44821-MF#IN	10	C070704	blank	2016-03-12	2018-03-12
020331301	IC120-0444-*06#SD-2	799	C160307	R19-2/L2-03905	2016-03-12	2018-03-12
020331301	IC120-0444-*06#SD-2	225	C160125	R19-2/L2-03905	2016-03-12	2018-03-12
020256501	IC51-1764-1505#PL PES	126	B160105	R08-2/L4-02143	2016-03-12	2018-03-12
021208703	PS61-44*-7211#IN	20	H160216	R44-1/L2-08274	2016-03-12	2018-03-12
106181701	SOP11T020-013#LB	60	B151216	R30-1/L3-05613	2016-03-12	2018-03-12
105328201	SOP11T028-008#LB	88	C150907	R30-2/L1-05755	2016-03-12	2018-03-12
020841002	IC357-1444-023#LB	35	A160128	R30-1/L3-05617	2016-03-12	2018-03-12
020442501	IC234-0484-034N#IN-B	20	F060308R	R33-1/L3-06167	2016-03-12	2018-03-12
105884301	CT 5196-Y#BARREL (PLATE)	1000	151001	blank	2016-03-12	2018-03-12
106317801	CT 5355#PLUNGER-A (YEC)	42600	A160208-112	blank	2016-03-12	2018-03-12
106317801	CT 5355#PLUNGER-A (YEC)	35500	A160208-114	blank	2016-03-12	2018-03-12
106317801	CT 5355#PLUNGER-A (YEC)	40600	A160208-115	blank	2016-03-12	2018-03-12
106317801	CT 5355#PLUNGER-A (YEC)	40900	A160208-120	blank	2016-03-12	2018-03-12
106317801	CT 5355#PLUNGER-A (YEC)	42600	A160211-104	blank	2016-03-12	2018-03-12
105538301	CT 4859 #SPRING-3 30K (OCEANS)	91280	1150901C-03N	blank	2016-03-12	2018-03-12
104574401	CT 4600 #SPRING (OCEANS)	11320	160310	blank	2016-03-12	2018-03-12
106256601	CT 5233#SPRING	1000	160310	blank	2016-03-12	2018-03-12
106134601	CT 5127#SPRING (OCEANS)	10000	160310	blank	2016-03-12	2018-03-12
103860101	CT 4241 #PLUNGER-B	3000	A160303-01-1	blank	2016-03-12	2018-03-12
104769701	NP436-17101#CV NO.4	3360	C160229	R24-1/L2-04738	2016-03-12	2018-03-12
020838001	IC357-1004-014#IN-A	2982	B060308R	R40-1/L2-07449	2016-03-12	2018-03-12
106379001	NP568-001#CV NO.2	7128	160307	blank	2016-03-12	2018-03-12
106281301	NP587-386-001#LO	3626	160302	R16-2/L1-03417	2016-03-12	2018-03-12
104769501	NP436-17101#IN-A-1NO.4	3287	K160202	R18-2/L3-03697	2016-03-12	2018-03-12
104769501	NP436-17101#IN-A-1NO.4	7000	K160302	R18-2/L3-03697	2016-03-12	2018-03-12
020440001	IC234-0644-027#LV	179	C151217	R09-2/L5-02401	2016-03-12	2018-03-12
020440701	IC234-0484-034#IN-A	20	B060307R	R22-2/L2-04441	2016-03-12	2018-03-12
020442201	IC234-0484-039#LB	20	C060307R	R30-1/L2-05637	2016-03-12	2018-03-12
020441001	IC234-0484-034#LV	79	E060307R	R09-2/L4-02411	2016-03-12	2018-03-12
103552801	NP481-1225-021#SP-D	722	A160122	R43-1/L5-07955	2016-03-12	2018-03-12
103552901	NP481-1225-021#SP-E	722	A160129	R43-1/L5-07956	2016-03-12	2018-03-12
105993901	NP566-1024-007#MO	429	160310	R17-2/L2-03557	2016-03-12	2018-03-12
106036701	IC572-0484-008#IN-A	47	160309	R17-1/L1-03497	2016-03-12	2018-03-12
105870901	IC572-1004-004#IN-A	70	160309	R16-2/L2-03367	2016-03-12	2018-03-12
106193301	IC564-121-025#LO	293	160308	R22-1/L2-04361	2016-03-12	2018-03-12
106193401	IC564-121-025#SD	269	160308	R16-2/L3-03353	2016-03-12	2018-03-12
106281401	NP587-001#SP	3000	160308	R21-2/L3-04257	2016-03-12	2018-03-12
106281401	NP587-001#SP	2000	160309	R21-2/L3-04257	2016-03-12	2018-03-12
104595601	CS-663	2423	542800	R02-1/L4-00335	2016-03-12	2018-03-12
103556001	NP481-021#SP	500	160302	R43-1/L5-07949	2016-03-12	2018-03-12
103555602	B20-115#SF[PBFREE]	170	B-231687	R05-2/L2-01350	2016-03-12	2018-03-12
103703601	NP481-023#SC	170	A-234480	R03-1/L4-00604	2016-03-12	2018-03-12
102034702	D25-055#SF[PBFREE]	1219	B-234262	R05-2/L3-01332	2016-03-12	2018-03-12
103555702	D20-172#SF[PBFREE]	170	B-232986	R05-2/L2-01346	2016-03-12	2018-03-12
106394001	IC564-060#SP	111	160304	blank	2016-03-12	2018-03-12
020436802	IC234-016#SD	88	L060307R	R33-2/L1-06304	2016-03-12	2018-03-12
021711803	ST-18 PEI JD	1105	1L160304	R44-2/L1-08385	2016-03-12	2018-03-12
101503301	ST-23 NO.2 PES	147	H151020	R44-2/L2-08341	2016-03-12	2018-03-12
021711401	ST-32 PEI JD	2	G151218	R44-2/L3-08331	2016-03-12	2018-03-12
021695201	ST-26 PES	16	L151721	R44-2/L2-08358	2016-03-12	2018-03-12
104813301	ST-120	18	A160113	R44-2/L3-08315	2016-03-12	2018-03-12
021121602	IC51-1444-1354-25#LB PEI	25	C050217R	R22-1/L3-04328	2016-03-12	2018-03-12
021121602	IC51-1444-1354-25#LB PEI	63	C060307R	R22-1/L3-04328	2016-03-12	2018-03-12
105648601	NP583-001#CV	20	E060307R	R22-2/L3-04412	2016-03-12	2018-03-12
105648301	NP583-092-001P#IN	20	A060308R	R22-1/L1-04407	2016-03-12	2018-03-12
020440901	IC234-0484-034#LB	5	B010630R	R12-2/L3-02611	2016-03-12	2018-03-12
103906701	IC398-0100-286#LT	179	B060307R	R09-1/L5-02249	2016-03-12	2018-03-12
104812501	IC567-001#IN	19	A151217	R23-1/L3-04508	2016-03-12	2018-03-12
021107201	IC51-1444-1354-21#PL PEI	100	C090910	R06-2/L2-01633	2016-03-12	2018-03-12
105900601	NP583-005#LT	1253	A060307R	R06-2/L3-01603	2016-03-12	2018-03-12
020374701	IC189-0422-025#IN-A	11	B160304	R16-2/L2-03385	2016-03-12	2018-03-12
020374701	IC189-0422-025#IN-A	89	B151119	R16-2/L2-03385	2016-03-12	2018-03-12
105568101	IC561-001#IN-A	18	C150931	R12-1/L1-02602	2016-03-12	2018-03-12
101243501	NP364-03281#CV	25	A151119	R35-1/L1-06584	2016-03-12	2018-03-12
021038401	IC51-1004-1919#IN PEI	22	A151109	R38-2/L2-07171	2016-03-12	2018-03-12
020374801	IC189-0422-025#IN-B	10	E160308	R38-2/L2-07190	2016-03-12	2018-03-12
020374801	IC189-0422-025#IN-B	90	E151118	R38-2/L2-07190	2016-03-12	2018-03-12
106393901	IC564-060#ME	111	160304	blank	2016-03-12	2018-03-12
021058501	IC51-0382-2036#PP PEI	99	C060307R	R36-2/L3-06783	2016-03-12	2018-03-12
021646702	M SHAFT-74 (1.5 L=27) [R]	157	CZ-234003	R05-1/L1-01247	2016-03-12	2018-03-12
104190701	IC530-023#SC-1	-702	A-234520	R03-1/L2-00671	2016-03-12	2018-03-12
105686801	PARALLEL PIN 1X3 M6	3200	160310	R03-1/L2-00657	2016-03-12	2018-03-12
021643302	M SHAFT-03 (1.5 L=30) [R]	863	CZ-234505	R05-1/L2-01208	2016-03-12	2018-03-12
